name,slug,latitude,longitude
Blondefontaine,blondefontaine,47.883333,5.866667
Angoulême,angouleme,45.653572,0.164608
Raincourt,raincourt,47.8598792274097,5.88594675064087
Gévigney,gevigney,47.8,5.933333
Baulay,baulay,47.783333,6.016667
Amoncourt,amoncourt,47.733333,6.066667
Chaux-les-Port,chaux-les-port,47.713834,6.03311
Charmoille,charmoille,47.666667,6.1
Pusey,pusey,47.65,6.133333
Martigny-les-Gerbonvaux,martigny-les-gerbonvaux,48.45,5.8
Autreville,autreville,48.483333,5.85
Mont-le-Vignoble,mont-le-vignoble,48.616667,5.85
Hestroff,hestroff,49.266667,6.433333
Vaudreching,vaudreching,49.284483,6.523714
Alzing,alzing,49.283333,6.55
Villette,villette,49.474443,5.541571
Colmey—Flabeuville,colmey-flabeuville,49.457202,5.555477
Montigny-sur-Chiers,montigny-sur-chiers,49.483333,5.666667
Lexy,lexy,49.5,5.733333
Ingolsheim,ingolsheim,48.97402,7.935905
Hertzing,hertzing,48.683333,6.95
Bébing,bebing,48.7,7
Drouilly,drouilly,48.766667,4.516667
Aiguillon,aiguillon,44.2987224,0.3352388
St-Martin-aux-Champs,st-martin-aux-champs,48.816667,4.483333
Bouilly,bouilly,48.2,4
Chamoy,chamoy,48.116667,3.966667
Jeugny,jeugny,48.128443,4.039581
Montigny-les-Monts,montigny-les-monts,48.1,3.95
St-Germain Mairie,st-germain-mairie,48.259911,4.007804
St-Jean-de-Bonneval,st-jean-de-bonneval,48.166667,4.05
St-Phal Monument aux morts,st-phal-monument-aux-morts,48.116667,4
Villery,villery,48.165524,4.023086
Neuvy-Sautour RN,neuvy-sautour-rn,48.033333,3.8
Brienon Mairie,brienon-mairie,48,3.616667
St-Lyé,st-lye,48.366667,4
Payns,payns,48.383333,3.966667
Savières,savieres,48.416667,3.95
St-Mesmin,st-mesmin,48.45,3.933333
Vallant-St-Georges,vallant-st-georges,48.466168,3.899331
Châtres,chatres,48.5,3.85
Maizières-La Grande-Paroisse,maizieres-la-grande-paroisse,48.516667,3.783333
Romilly-sur-Seine,romilly-sur-seine,48.514433,3.728887
Marnay-sur-Seine,marnay-sur-seine,48.516667,3.55
Nogent-sur-Seine,nogent-sur-seine,48.49783878,3.49372888
Aigueperse,aigueperse,46.0147884,3.1982621
Vendeuvre,vendeuvre,48.2400686,4.4672135
Bar-sur-Aube,bar-sur-aube,48.2385399,4.7066708
St-Florentin Hôtel de Ville,st-florentin-hotel-de-ville,48,3.733333
Laroche-Migennes Hôtel Terminus,laroche-migennes-hotel-terminus,,
Foug,foug,48.6792561,5.7912761
Fontenoy-sur-Moselle,fontenoy-sur-moselle,48.711721,5.9803654
Liverdun,liverdun,48.7493158,6.0617374
Champigneulles,champigneulles,48.73499,6.16913
Laneuveville-devant-Nancy,laneuveville-devant-nancy,48.65564,6.22792
Argèles-Gazost,argeles-gazost,43.1,-0.05
Arches,arches,48.1198133,6.5283085
Varangéville—St-Nicolas,varangeville-st-nicolas,48.63533929,6.31286037
Dombasle-sur-Meurthe,dombasle-sur-meurthe,48.623275,6.343478
Rosières-aux-Salines,rosieres-aux-salines,48.60563,6.350457
Argelès-sur-Mer,argeles-sur-mer,42.54397,3.022349
Marainviller,marainviller,48.583333,6.6
Embermenil,embermenil,48.633333,6.7
Einvaux,einvaux,48.5034859,6.3932959
Bayon,bayon,48.468046,6.322569
Argentan,argentan,48.738545,-0.025291
Xermamenil—Lamath,xermamenil-lamath,48.534981,6.457553
Arvant,arvant,45.3653797,3.3106747
Gerbeviller,gerbeviller,48.5,6.516667
Moyen,moyen,48.483333,6.566667
Soulosse,soulosse,48.40923,5.739127
Magnières,magnieres,48.45,6.566667
Ascq,ascq,50.6218591,3.1598992
Coussey,coussey,48.416667,5.683333
Domremy-la-Pucelle,domremy-la-pucelle,48.45,5.683333
Auxerre-St-Gervais,auxerre-st-gervais,47.797645,3.58514
Aspres-sur-Buëch,aspres-sur-buech,44.519428,5.7545655
St-Clément-Laronxe,st-clement-laronxe,48.5312283,6.6081108
Chenevières,chenevieres,48.5195062,6.6325613
Ménil-Flin,menil-flin,48.5050204,6.6592265
Azerailles,azerailles,48.4913355,6.695778
Baccarat,baccarat,48.452405,6.74383
Bertrichamps,bertrichamps,48.4283359,6.7912343
Thiaville,thiaville,48.4139874,6.8102635
Houdemont,houdemont,48.645478,6.1797255
Ludres,ludres,48.6219545,6.1709118
Messein,messein,48.6128788,6.1378364
Neuves-Maisons,neuves-maisons,48.6147666,6.1078904
Pont-St-Vincent,pont-st-vincent,48.6023732,6.1031502
Aixe-sur-Vienne,aixe-sur-vienne,45.7965002,1.1456892
Adamswiller,adamswiller,48.9037576567988,7.20119476318359
Bainville,bainville,48.5863794,6.099327
Xeuilley,xeuilley,48.5697134,6.1022334
Pierreville,pierreville,48.5488838,6.1241409
Pulligny—Autrey,pulligny-autrey,48.5360716,6.1374765
Ceintrey,ceintrey,48.523865,6.1572868
Tantonville,tantonville,48.4838433,6.129105
Vézelise,vezelise,48.4805518,6.1006508
Praye-sous-Vaudémont,praye-sous-vaudemont,48.4327891,6.1006981
Diarville,diarville,48.3975653,6.1264922
Domgermain,domgermain,48.65,5.816667
Charmes-la-Côte,charmes-la-cote,48.633333,5.833333
Blenod-les-Toul,blenod-les-toul,48.6,5.833333
Bulligny—Crézilles,bulligny-crezilles,48.576646,5.848966
Barisey-la-Côte,barisey-la-cote,48.55,5.85
Pompey,pompey,48.77304,6.13061
Marbache,marbache,48.8010405,6.1091755
Belleville,belleville,48.8195721,6.1018641
Dieulouard,dieulouard,48.843367,6.071489
Pont-à-Mousson,pont-a-mousson,48.90058,6.050842
Luzy-sur-Marne,luzy-sur-marne,48.05,5.183333
Chaudenay,chaudenay,47.833333,5.5
Hortes,hortes,47.838739,5.553454
Charmoy—Fayl-Billot,charmoy-fayl-billot,47.809308,5.604145
Auch,auch,43.647488,0.596661
Laferté-sur-Amance,laferte-sur-amance,47.833333,5.7
Vitrey—Vernois,vitrey-vernois,47.830406,5.779407
Barges,barges,47.866667,5.85
Bologne,bologne,48.1986877,5.1342228
Vignory,vignory,48.2701366,5.1241594
Aurillac,aurillac,44.921092,2.435655
Froncles,froncles,48.2964154,5.1419387
Gudmont,gudmont,48.3382279,5.1408271
Donjeux,donjeux,48.3658544,5.1482245
Avignon TGV,avignon-tgv,43.921586,4.786079
Avail,avail,46.960187,2.05319
Damblain,damblain,48.0937645,5.6563504
Châtillon-sur-Seine,chatillon-sur-seine,47.8612613151893,4.57482933998108
Avignon,avignon,43.95,4.816667
Aguilcourt—Variscourt,aguilcourt-variscourt,49.408017,3.973137
Prauthoy,prauthoy,47.666667,5.283333
Vaux-sous-Aubigny,vaux-sous-aubigny,47.657894,5.291365
Selongey,selongey,47.58704,5.18604
Maatz,maatz,47.7,5.45
Champlitte,champlitte,47.616667,5.516667
Neuvelle-lès-Champlitte,neuvelle-les-champlitte,47.583333,5.55
Oyrières,oyrieres,47.533333,5.566667
Chargey-les-Gray,chargey-les-gray,47.483333,5.583333
Til-Châtel,til-chatel,47.514121,5.169067
Velles,velles,47.833292,5.723971
Vraincourt-Viéville,vraincourt-vieville,48.2366981,5.1239383
Le Pailly,le-pailly,47.8,5.416667
Rivières-le-Bois,rivieres-le-bois,47.733333,5.433333
Grandchamp,grandchamp,47.716667,5.45
Leffond,leffond,47.666667,5.466667
Le Martoulet,le-martoulet,45.577772,1.471192
Coublanc,coublanc,47.7,5.466667
Écuelle,ecuelle,47.55,5.55
Corgirnon,corgirnon,47.8,5.5
Rougeux,rougeux,47.816667,5.583333
Beausoleil,beausoleil,43.75,7.433333
Roville-aux-Chênes,roville-aux-chenes,48.383333,6.6
